reviewText,Positive
one best apps acording bunch people agree bomb egg pig tnt king pig realustic stuff,1
pretty good version game free . lot different level play . kid enjoy lot .,1
really cool game . bunch level find golden egg . super fun .,1
"silly game frustrating , lot fun definitely recommend fun time .",1
terrific game pad . hr fun . grandkids love . great entertainment waiting long line,1
entertaining game ! n't smart play . guess 's like ... 's easy fun 's game suppose . warned : game highly addictive .,1
awesome n't need wi ti play trust . really fun addicting . like 100 level even free n't waste money expensive one mean seriously . get app,1
awesome bet one even read review know game good n't need,1
basicly free version ad . 's actually awesome ! ! ! ! 's addicting free time really . 'd reccomend .,1
far best free app available anywhere . helped pas time nothing else would . n't pas one . p hate 20 word minimum !,1
"definitely great game . get 6-year-old grand-nephew teach trick . figured , configuration tough beat . n't particularly care spending 45 minute completing level ,",1
. fun time consuming . work great kindle fire really like game btother,1
"good like physic game , free game , bird game . like free version ipod . get level add pop corner barely noticeable .",1
great ! tried & true game cure boredom ! great try & get 3 star every level !,1
one best apps world along angry bird game . great passing time .,1
super fun though little frustrating time ! ! ! ! ! ! ! ! ! loved got kindle would beg brother dad play . get play time ! ! ! ! ! !,1
"ad free version angry bird . old fashioned version angry bird series . huge partially difficult game . played angry bird first time , 'll love",1
best app ever . make way easier babysitt mental kid . app fun .,1
best app ever downloaded people say 1 2 3 4 star n't know much supposed purfor 5 star app,1
bestest game ever omg . im excited : play omg ! ! ! ! ! ! ! omg omg omg love angry bird much da bomb diggety cool omg omg omg omg omg,1
best game ever ! ! ! ! ! fun addicting . many different episode amazing . love !,1
best game ever buy awesome game whole wide world . :,1
best game could think of.i downloaded fav . character original pig.yay love,1
first angry bird . get in2 one 'll lea wanting angry bird season angry bird rio . 're fantastic ! ! ! ! ! ! ! !,1
"first app installed onkindle fire , full color 7 '' multi-touch display , wi-fiwhich purchased recently amazon . angry bird ( free version ) work smoothly kindle fire.love smooth graphic ! responds perfectly ple",1
"full version except ad . one best free apps app store . io , free version like demo . better buy . save 99 cent exact thing paid version . recommend everyone . mu",1
game get . bad comment r stupid . app n't need wifi . like app lot free n't love angry bird ! ! !,1
go game ... love . find much better game,1
one best apps becase good time consuming game ever go becase wifi,1
"original anfry bird game work original kindle fire new hd version.new note - updated work new kindle fire hd . course happen bought paid version , n",1
"popular game 've hearing long time till friend dared download play . damned got addicted game . love much . turned husband game , . soon , 'll get son ,",1
"keep busy time . really happy app , never ever problems.p.s.good luck green little booger !",1
physic based game perfect people age spend extra time mobile device . yet still offer challenge . work well kindle fire .,1
"seems popular kindle fire hand . lot fun free time plus graphic , nice .",1
much fun ! daughter vthis app iphone never realized much fun downloaded kindle fire . highly recommend getting app ... work great kindle fire !,1
"entertaining challenging game several level seek improvement . ad overrun , free , excellent program .",1
"first time play angry bird don'tthink could better first impression ! , purchase every angry bird gamei get hand ! see 'fuss ' ! ! !",1
one first apps got kindle fire love playing . great passing time . ad n't bother small little box top right screen hardly notice . worth paying,1
1st app ever downloaded kindle fire love ! need wi-fi play ! think 's great app time-waster .,1
best game time come phone . would put snake old nokia brick .,1
"addictive . play hour . first game installed fire , played .",1
"fun challenge , always try get three star , nice graphic gameplay , always good way kill time .",1
fun addictingso good u pay money itonly winner play game get ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1
fun game people say freeze n't work must many game 're . device,1
"fun fun fun fun , keep busy . stop playing . challenging , game make angry , sometimes , win .",1
"high quality game . fast , crystal clear . amazing game popular , would free ! level accomplish become angry bird pro.~ jessie",1
awesome & iexcl ; ! ! ! ! ! ! ! ' ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! x . ! & iexcl ; ! ! cgdixjcv dnjdxjx gcfjxcb fvcv hxgrdh,1
"watch ! addicting game , fun age ! good way kill time , waste time .",1
love game . fun age . cant wait till someone get tired get tablet play .,1
downloaded free version tween 's new kindle fire everyone ( age 9 74 ) blast playing game many level challenge . graphic sound great .,1
well 'm would call gamer game found addicting . make nut enough try fail .,1
"say probably n't already know , unless 've living rock last year . work like champ kindle fire .",1
say ? ya ca n't improve perfection . great traveling time need relax .,1
angry bird space folding kindle fire ? jrdhdhdh fhd dud dvd dud db 's dhdjsbd fhdbfjs sjdddhdx dud dud,1
"whenever probs operating game , keep get least 2 star ! help pas time , help keep mind active !",1
first found angry bird n't think much played friend phone hooked . got ipod killed battery . husband bought kindle fire valentine day playing angry bird,1
first got angry bird ; loved could n't stop playing ! played whenever could . hard level take beat ; sometimes look walk-through pas . plenty level . completed level ; sto,1
first played game hooked . would spend hour defeat pig . kid even hooked game .,1
"wait see say doctor , dmv , wife get done shopping",1
"n't enjoy classic game angry bird , tv show use game . friend 's teach took opossum away started playing angry bird . lol",1
n't like angrybirds ? paid version better n't annoying add . blocking shot !,1
n't like angry bird ? love angry bird ! n't know anyone n't ! love angry bird ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1
n't love app . everyone family enjoys playing gamealways fun playing angrybirds hope theyp come upwith newbirds,1
"anyone hate ? wi-fi required ? need wi-fi download , complaining ? ad ? 're tiny ! bother ! ca n't download ? n't make game stupid.this best game time ! ! ! .... least , time",1
people give low score add disruptive great free game get listen low score,1
"wish never downloaded game ! ! ! ! playing time ! ! ! ! sometimes get sooo 'angry ' one puzzle , continually go back .",1
work great kindle fire.it think second free app loaded work great still day._never one problem .,1
